Taxa,g__Ralstonia,f__Burkholderiaceae|g__unclassified,k__Bacteria|g__unclassified,k__Archaea|g__unclassified,f__Ktedonobacteraceae|g__HSB_OF53-F07,c__Deltaproteobacteria|o__Sva0485|g__unclassified,k__Archaea|f__Nitrosotaleaceae|g__unclassified,k__Archaea|o__Methanomassiliicoccales|g__unclassified,k__Archaea|c__Bathyarchaeia|g__unclassified,g__Pseudomonas,g__Bacillus,c__Thermoprotei|g__unclassified,k__Bacteria|p__GAL15|g__unclassified,c__Anaerolineae|g__unclassified,k__Archaea|g__Candidatus_Methanoperedens,c__Acidobacteriia|o__Subgroup_13|g__unclassified,k__Archaea|g__Candidatus_Nitrosopelagicus,k__Archaea|o__Desulfurococcales|g__unclassified,f__Anaerolineaceae|g__unclassified,c__Acidobacteriia|o__Subgroup_2|g__unclassified,f__Pedosphaeraceae|g__ADurb.Bin063-1,f__Micrococcaceae|g__unclassified,c__Thermodesulfovibrionia|g__unclassified,f__Burkholderiaceae|g__Burkholderia-Caballeronia-Paraburkholderia,g__Acinetobacter,f__Methylomirabilaceae|g__Sh765B-TzT-35,o__Acidobacteriales|g__unclassified,o__Rokubacteriales|g__unclassified,f__Spirochaetaceae|g__Spirochaeta_2,g__Cupriavidus,group
X1.1,45520,1647,30,0,5,27,0,0,0,6035,179,0,101,0,3,3,195,0,0,0,41,156,121,167,254,0,153,23,6,2951,X1
X1.5,881,1365,1477,23,76,1178,98,21,862,293,7150,25,42,449,2,200,1987,18,647,243,1850,1883,2964,4881,205,314,1038,411,143,122,X1
X1.6,15,61,3342,1810,430,253,4172,537,92,8,102,904,27980,1347,0,7516,1030,1692,224,1916,366,45,375,0,34,777,393,1555,256,8,X1
X1.7,58207,1679,171,0,10,46,0,0,0,8856,117,0,0,2,0,4,0,0,0,18,0,19,23,171,388,7,0,12,3,4541,X1
X1.8,57566,1498,67,0,0,91,0,3,42,8728,113,0,0,48,0,37,0,3,6,24,57,311,29,158,526,58,38,14,12,5226,X1
X1.10,34329,648,28,0,0,33,3,0,0,30489,25,4,0,68,0,8,0,4,106,4,88,0,67,75,208,8,0,23,13,2337,X1
X2.1,692,2795,1271,54,142,1268,47,48,1301,297,3894,0,56,664,18,145,170,15,1703,149,2358,9761,4468,159,185,168,431,232,103,80,X2
X2.5,661,2363,2597,2121,4415,8107,2181,194,2032,173,807,428,88,287,8,617,7167,750,448,873,1830,1332,671,253,133,1045,1356,829,578,42,X2
X2.6,0,10,5088,626,1259,953,1038,10322,343,8,156,475,226,3825,1665,1072,19,698,1430,539,601,9,531,108,27,2391,2281,1239,3272,0,X2
X2.7,1116,4871,875,144,45,599,131,787,52,134,197,44,33,607,38,190,0,158,79,199,76,49,109,630,56,297,163,87,239,129,X2
X2.9,17,261,5345,2246,241,2088,346,10680,1056,9,111,6492,574,4606,685,2126,116,3349,1954,1407,573,29,1310,535,296,972,242,284,988,0,X2
X2.10,8315,34896,959,217,27,1966,74,340,77,3537,288,1509,935,539,20,975,45,629,719,406,713,66,129,4129,148,517,167,33,116,693,X2
X2.11,2058,645,5677,14097,302,822,1033,1460,1341,8,61,8926,2311,1191,27,1934,0,6377,541,432,95,36,107,4053,85,1976,203,1048,62,0,X2
Y2.1,584,1471,685,0,82,296,0,0,92,425,16702,0,57,157,9,66,32,0,537,76,188,435,501,104,159,81,178,212,37,94,Y2
Y2.5,1002,5372,4222,627,336,242,3291,1738,138,190,526,1174,3783,582,3,2627,2221,760,385,6262,250,703,274,528,343,514,837,3023,36,90,Y2
Y2.6,6517,4210,863,0,38,167,17,139,26,4223,1135,21,164,36,3,187,37,0,182,100,179,8446,351,491,42293,34,105,182,32,469,Y2
Y2.7,1643,770,5397,1564,1270,69,2146,15465,48,14,880,1116,5147,615,12,1842,66,696,1074,1352,167,338,99,1895,104,570,371,3446,4,0,Y2
Y2.8,60389,1642,10,4,0,25,0,49,0,8077,0,0,0,6,0,0,0,0,0,0,0,38,9,147,305,4,0,3,4,4762,Y2
Y2.9,53620,7431,200,71,98,78,0,72,2,7227,95,232,137,2,0,79,2,102,50,100,9,314,13,815,2098,7,10,38,5,4682,Y2
Y2.10,59901,2522,49,3,0,46,10,0,0,8554,105,3,0,0,0,0,0,0,11,18,11,37,24,328,592,4,13,8,7,5012,Y2
Y4.1,794,1726,2227,58,302,709,373,292,741,155,289,20,65,1422,6,154,17006,24,2698,359,2216,83,1614,547,162,341,1490,176,181,56,Y4
Y4.5,14,397,4035,2248,2309,1234,1445,2120,534,0,594,2661,301,2198,13,343,1659,840,3650,925,1666,2362,1278,152,8,884,2074,1484,458,0,Y4
