Taxa,g__Ralstonia,f__Burkholderiaceae|g__unclassified,k__Bacteria|g__unclassified,k__Archaea|g__unclassified,f__Ktedonobacteraceae|g__HSB_OF53-F07,c__Deltaproteobacteria|o__Sva0485|g__unclassified,k__Archaea|f__Nitrosotaleaceae|g__unclassified,k__Archaea|o__Methanomassiliicoccales|g__unclassified,k__Archaea|c__Bathyarchaeia|g__unclassified,g__Pseudomonas,g__Bacillus,c__Thermoprotei|g__unclassified,k__Bacteria|p__GAL15|g__unclassified,c__Anaerolineae|g__unclassified,k__Archaea|g__Candidatus_Methanoperedens,c__Acidobacteriia|o__Subgroup_13|g__unclassified,k__Archaea|g__Candidatus_Nitrosopelagicus,k__Archaea|o__Desulfurococcales|g__unclassified,f__Anaerolineaceae|g__unclassified,c__Acidobacteriia|o__Subgroup_2|g__unclassified,f__Pedosphaeraceae|g__ADurb.Bin063-1,f__Micrococcaceae|g__unclassified,c__Thermodesulfovibrionia|g__unclassified,f__Burkholderiaceae|g__Burkholderia-Caballeronia-Paraburkholderia,g__Acinetobacter,f__Methylomirabilaceae|g__Sh765B-TzT-35,o__Acidobacteriales|g__unclassified,o__Rokubacteriales|g__unclassified,f__Spirochaetaceae|g__Spirochaeta_2,g__Cupriavidus,group
Z7.1,215,1943,1227,18,60,383,17,14,721,102,25634,21,13,70,6,54,197,14,1115,61,1818,933,417,68,17,179,69,150,97,24,Z7
Z7.5,0,535,4715,2954,7100,314,1255,2524,73,10,1090,3600,634,1077,195,461,2849,213,1655,1380,2058,396,353,75,5,1181,1103,1605,323,0,Z7
Z7.6,434,1665,8710,3339,2271,3731,1585,1169,1183,120,1659,2258,296,471,132,624,2109,2240,318,750,595,385,1416,229,0,1121,664,974,409,41,Z7
Z7.7,0,30,5020,13222,72,4666,100,785,6223,6,104,134,50,1868,359,871,18,205,2115,211,91,28,1350,42,13,312,48,30,1136,0,Z7
Z7.8,867,6511,4242,9533,49,7467,233,246,8139,69,214,511,29,870,42,402,16,202,1315,24,42,44,1199,689,16,249,29,27,2814,90,Z7
Z11.1,192,2558,1344,9,70,693,16,21,897,40,7284,20,0,121,9,35,53,12,2983,23,3904,76,456,80,7,237,60,59,360,12,Z11
Z11.5,484,1717,3245,2835,18195,102,11605,775,145,77,212,2048,2519,198,37,1332,2003,166,61,1524,802,52,160,239,100,274,1958,688,194,41,Z11
Z11.6,138,236,2783,8346,9967,65,8720,3804,39,24,157,6843,1183,371,5087,986,373,1423,119,1059,533,18,188,144,61,789,831,590,245,0,Z11
Z11.7,64,473,9794,526,874,4808,49,5902,541,80,332,573,3345,6753,1269,1541,7,2110,523,1757,307,5,1447,528,379,2262,1183,67,2715,0,Z11
Z11.8,4547,34510,3648,1880,356,1674,129,811,1362,507,196,388,343,3691,636,670,47,1038,684,706,407,54,850,3416,164,740,397,113,769,390,Z11
Z8.1,280,3325,1131,15,70,538,0,0,610,55,1418,16,8,207,3,89,825,0,2359,43,8224,82,1403,99,8,847,533,277,103,0,Z8
Z8.5,530,1936,7485,2154,12098,1948,3360,770,223,55,517,1396,163,1028,696,393,3193,2170,392,1216,805,146,961,275,6,985,946,899,301,19,Z8
Z8.6,2049,11700,5130,6151,278,5742,55,791,1618,405,201,139,54,2407,156,506,39,491,1135,512,292,6,1940,1212,20,642,530,173,1743,178,Z8
Z8.7,465,3874,4111,9701,89,5169,257,598,7990,37,307,380,34,1751,57,1301,125,203,3511,426,245,102,341,430,5,259,105,80,983,37,Z8
Z8.8,616,8009,3846,11983,69,4971,275,269,9806,54,282,494,15,1011,168,397,95,256,1719,100,195,28,332,730,73,188,60,43,1466,40,Z8
Z8.11,3906,26674,3388,7283,22,1511,75,601,4911,340,149,175,17,1041,1154,384,31,117,640,47,34,27,194,2827,21,129,28,0,1339,292,Z8
Z2.1,204,2511,1382,121,246,555,105,149,1122,42,1769,56,7,517,22,66,8332,22,2027,459,5530,4920,925,84,0,264,1099,170,229,18,Z2
Z2.5,914,1481,3187,2157,10421,428,15071,1695,107,78,478,421,106,171,1062,1284,2707,743,174,1056,1008,53,162,207,15,1005,4991,1138,904,56,Z2
Z2.6,0,11,3329,933,22544,405,3576,2791,25,39,0,2036,91,633,18048,623,14,845,122,507,455,18,44,93,79,1197,318,433,474,0,Z2
Z2.7,0,172,5645,2634,2284,259,3773,4410,166,53,93,4156,8064,1163,1198,5602,42,3974,759,2388,511,2434,142,319,49,4163,797,2985,387,0,Z2
Z2.8,14492,14802,2697,878,39,96,2719,1017,135,9863,143,627,1095,191,179,1526,16,787,36,877,162,437,74,1533,195,2077,161,684,25,1026,Z2
Z9.1,206,6903,2605,1883,3380,973,596,607,277,31,401,2817,81,574,895,206,336,2073,1060,1630,1175,473,2223,114,0,652,828,474,420,0,Z9
Z9.5,0,16,4125,2047,11061,464,5659,9712,67,14,68,1346,242,1219,3226,1077,163,456,792,1484,503,0,235,64,0,1547,1351,1073,726,0,Z9
Z9.6,849,7341,3822,787,3543,3105,674,3654,255,74,101,1595,534,1416,20775,1060,27,2719,368,2814,471,28,730,738,5,1730,1426,377,1579,60,Z9
Z9.7,0,56,5640,3609,315,4509,163,3225,3346,42,128,565,237,4241,1853,972,15,1454,1705,460,171,23,2208,161,99,1049,511,101,920,0,Z9
Z9.8,59004,5103,106,241,0,35,0,14,105,4818,138,0,24,26,3,6,0,0,2,0,13,11,64,610,357,0,4,6,0,3462,Z9
Z4.1,161,1210,1315,85,292,373,87,41,1410,63,9738,34,17,205,33,105,1659,28,1720,353,5286,6281,1117,145,0,257,678,234,168,56,Z4
Z4.5,277,1537,2785,2884,2428,470,9065,1077,536,174,447,3412,999,308,283,710,3838,1434,513,1554,2120,7058,2783,196,16,701,2025,989,262,108,Z4
Z4.6,1445,8900,2734,1202,20239,193,7866,2099,161,127,169,2001,437,403,1453,1481,81,2060,108,1971,920,396,185,936,17,849,431,365,2486,95,Z4
Z4.7,8162,11811,3651,8350,34,100,6369,1766,193,709,233,2656,3343,812,408,6044,36,4857,133,2148,122,579,16,1757,83,1711,395,958,199,473,Z4
Z4.8,0,430,9757,6339,1556,188,6454,2997,214,77,258,1099,4914,540,214,7774,30,3447,124,3784,149,243,2,1590,242,2642,81,2580,341,0,Z4
Z4.9,11948,5355,1754,621,891,61,1403,242,75,1477,458,655,980,181,146,666,428,535,169,729,597,7828,352,374,151,443,492,845,96,1041,Z4
