	pH	NH4-N	NO3-N	NO2-N	DON	DOC	T-Fe	CEC	C:N
X1.1	6.08	35.3839593	5.460203515	0.189381637	26.19287234	104.2806846	41.21303696	20.574	10.27962414
X1.5	6.23	0.849454976	1.469691943	0.005288026	26.73760664	24.34430095	47.6024631	15.35176	9.488063073
X1.6	6.5	2.240091796	0.280011474	0.01563651	29.60208262	17.03200229	43.97138763	14.3256	9.633199667
X1.7	6.89	0.82368281	0.540926024	0.020177155	41.30093135	10.30218201	39.81164042	15.25016	9.220034014
X1.8	7.28	0.549974093	0.358678756	0.015355934	52.48964702	6.09753886	27.72623536	12.31392	8.970392982
X1.10	7.33	0.634653916	0.207704918	0.012761592	53.66864299	4.979148452	14.40192461	4.14528	8.947831617
X2.1	6.84	8.723360656	0.415398126	0.059884832	33.77602166	141.4679859	45.96607816	24.90216	10.91972495
X2.5	5.95	5.326345609	0.633767705	0.014912925	17.46569405	23.81348442	53.66443452	29.1084	10.0925536
X2.6	5.82	31.08497238	0.19640884	0.019153954	28.37125691	28.38107735	49.89429332	32.01416	9.604867299
X2.7	5.54	24.34555656	0.35038914	0.009720865	73.34163801	51.39689593	32.3527954	18.57248	10.08683762
X2.9	5.59	19.86640904	0.255321046	0.017785087	67.94275416	20.73571641	24.73112185	15.63624	10.30936019
X2.10	6.2	11.10967254	0.218312343	0.015577495	53.70786839	9.817991184	27.62728719	9.23544	9.3420133
X2.11	6.34	5.119238626	0.992005571	0.013544397	26.04933148	9.705733519	27.41234152	11.10488	9.537015702
Y2.1	6.61	5.780034247	0.61489726	0.063876723	47.2958476	54.9444863	42.11826942	8.8392	11.53317063
Y2.5	6.42	1.264313222	0.258023107	0.007361722	13.05919448	12.77214377	51.71412244	17.34312	9.231089503
Y2.6	6.51	0.801081081	0.315577396	0.017755021	10.82673219	2.190835381	48.65227853	18.8468	8.390945637
Y2.7	6.37	0.62396648	0.562793296	0.011347626	8.750824022	7.236787709	45.65001992	18.11528	8.777706644
Y2.8	6.4	1.015074393	0.334377447	0.008945343	8.771436962	2.704874706	33.82459358	14.99616	8.903350659
Y2.9	6.39	0.648923077	0.204923077	0.010559231	8.677923077	3.796769231	14.47318769	5.09016	9.173224701
Y2.10	6.53	0.446371681	0.194572271	0.012657928	10.48115044	1.573746313	9.867291958	4.6736	7.470982866
Y4.1	5.24	2.414819519	12.22790775	0.019754992	20.68362132	165.3305414	32.79106793	9.88568	10.24831478
Y4.5	6.1	0.538518519	1.74377425	0.007316479	44.6906261	37.18342152	42.11220987	11.33856	8.92231425
Y4.6	6.26	2.039712132	0.415270733	0.022225381	22.44904729	15.32226868	53.29744881	11.04392	8.996061973
Y4.7	6.58	0.763242867	0.307759221	0.01581113	23.7713222	3.902386917	47.04612365	10.78992	9.600257938
Y4.8	6.64	0.821898527	0.326342062	0.015523911	21.16993044	3.251333879	50.23907328	12.9032	9.530200931
Y3.1	5.84	2.03358196	9.511500434	0.014234269	14.86895924	48.5035039	41.32531318	14.34592	9.055340646
Y3.5	5.9	6.251818182	0.267171717	0.014773761	21.56743687	2.624962121	19.09154123	3.28168	9.70508322
Y3.7	5.71	94.61008403	0.220504202	0.012782353	41.22739496	59.10890756	46.86962987	15.53464	8.069582714
Y3.8	6.29	40.19286593	1.036162362	0.107733702	73.16457565	30.00393604	24.97850529	7.35584	8.45811331
Y3.9	6.15	21.25204857	0.257444562	0.021126544	62.81969113	14.10152587	37.59348465	7.76224	7.86536803
Y3.10	5.88	18.74980435	0.453086957	0.012359946	29.10750543	31.09642391	21.13666337	7.48792	8.39590506
Z7.1	6.27	0.768609545	11.76117625	0.01603838	11.35753539	93.33530252	31.14804377	9.77392	10.56265341
Z7.5	6.36	0.385408532	1.661243673	0.005212152	21.61388768	26.94537238	48.29571569	11.54176	10.29108768
Z7.6	6.12	0.654043695	1.062821004	0.015069405	20.56831161	22.76889613	48.40175953	10.4648	11.10142291
Z7.7	5.04	14.30298381	0.321716599	0.017216865	3.869535762	40.93173482	48.7726748	9.37768	10.49346204
Z7.8	5.21	19.30830585	0.116784108	0.023612287	4.202065217	40.29051724	38.25	8.636	10.18890368
Z11.1	4.66	5.023781625	153.5473768	0.033486127	28.69505548	169.502024	50.74900299	18.9484	9.426393203
Z11.5	5.32	2.522845528	0.970325203	0.007382558	11.12423939	17.85398374	41.9171906	14.61008	9.776286202
Z11.6	5.3	2.519565217	0.238695652	0.00993322	16.7551087	27.98043478	41.46452145	16.43888	10.31861079
Z11.7	4.86	7.734863233	0.18416341	0.014548087	11.15504085	17.01538366	44.37724747	12.0904	10.00748214
Z11.8	4.76	8.020731879	0.108205489	0.014958564	9.869242318	10.99638283	16.58401639	2.50952	10.50062886
Z8.1	6.19	129.8869036	1.569363891	0.117041043	18.70893358	103.7896165	50.71517413	12.88288	10.67657059
Z8.5	6.45	4.816880363	0.32723372	0.014476002	11.95712014	52.03016153	47.91266158	10.5156	10.2061331
Z8.6	4.93	13.40162379	0.247414593	0.025012069	23.84801771	35.99195065	42.97798949	9.03224	10.51361356
Z8.7	5.23	14.05029586	0.187337278	0.021961951	7.943992674	34.65070583	30.66798942	5.55752	10.66572583
Z8.8	5.4	21.98823992	0.125170246	0.015381163	3.099122577	58.96213986	39.71604022	7.07136	10.29512747
Z8.11	5.78	43.09115797	0.131736955	0.014569284	15.86771623	52.10196569	33.88151426	6.36016	11.41977161
Z2.1	5.54	3.949819144	0.59537715	0.039380205	19.41147331	79.49011028	49.18657938	20.15744	9.349417044
Z2.5	5.58	5.329842932	0.359764398	0.007603354	33.14496073	20.5465445	49.28304644	21.10232	10.86259265
Z2.6	5.62	10.19155497	0.267846386	0.01720076	16.38550264	9.428192771	46.72444661	20.07616	9.975622748
Z2.7	5.69	3.759335597	0.183680892	0.011357602	8.571774976	11.01473084	19.65286994	4.17576	9.827877399
Z2.8	6.05	1.526015538	0.06254162	0.013833425	10.24744451	4.853229745	7.725316661	1.78816	8.86851783
Z9.1	6.14	8.419518924	3.428228454	0.056714359	16.99446838	66.93583219	47.0475282	11.00328	10.69913446
Z9.5	5.66	14.67208795	0.363770776	0.0124962	25.65033068	72.02661357	45.5182428	24.11984	10.09335292
Z9.6	5.11	26.491875	0.165833333	0.022681163	22.95640046	45.2725	50.49319728	14.94536	9.736622263
Z9.7	4.98	28.88866995	0.227364532	0.017177725	12.22418719	34.29860837	39.74735799	9.398	9.392447081
