,avde
X1.1,2.5
X1.5,102.5
X1.6,210
X1.7,295
X1.8,395
X1.10,465
X2.1,2.5
X2.5,102.5
X2.6,210
X2.7,300
X2.9,400
X2.10,500
X2.11,610
Y2.1,2.5
Y2.5,110
Y2.6,210
Y2.7,300
Y2.8,410
Y2.9,500
Y2.10,575
Y4.1,2.5
Y4.5,102.5
Y4.6,210
Y4.7,300
Y4.8,390
Y3.1,2.5
Y3.5,102.5
Y3.7,210
Y3.8,310
Y3.9,405
Y3.10,510
Z7.1,2.5
Z7.5,96.5
Z7.6,200
Z7.7,310
Z7.8,400
Z11.1,2.5
Z11.5,110
Z11.6,210
Z11.7,310
Z11.8,390
Z8.1,2.5
Z8.5,110
Z8.6,200
Z8.7,300
Z8.8,400
Z8.11,510
Z2.1,5
Z2.5,102.5
Z2.6,210
Z2.7,315
Z2.8,390
Z9.1,2.5
Z9.5,100
Z9.6,210
Z9.7,320
Z9.8,460
Z4.1,2.5
Z4.5,105
Z4.6,180
Z4.7,300
Z4.8,385
Z4.9,524
Z10.1,2.5
Z10.5,97.5
Z10.6,210
Z10.7,310
Z10.8,412.5
