	Group1	Depthlevel2	Depthlevel3	Depthlevel4	group	group2	avde	pH	ORP	moisture	NH4-N	NO3-N	NO2-N	DON	Fe2	DOC	TN	TP	T-Fe	T-Mn	TOC	CEC	Cl-	SO42-	K+	Na+	Ca2+	Mg2+	HCO32-	C:N	Soiltype
X1.1	CY	S	T	T	CYS	CYT	2.5	6.08	312	53.37650324	35.3839593	5.460203515	0.189381637	26.19287234	16.4879741	104.2806846	2.382670906	0.613980502	41.21303696	0.29486014	24.49296136	20.574	0.065745	0.346708454	0.046035806	0.060869565	0.120209581	0.061598874	0.126	10.27962414	2
X1.5	CY	S	D	U	CYS	CYD	102.5	6.23	379	34.83412322	0.849454976	1.469691943	0.005288026	26.73760664	5.663033175	24.34430095	0.639935196	0.44416597	47.6024631	0.414469485	6.071745507	15.35176	0.08766	0.202227046	0.017902813	0.065217391	0.046737081	0.048789965	0.1764	9.488063073	2
X1.6	CY	D	D	D	CYD	CYD	210	6.5	359	21.74411933	2.240091796	0.280011474	0.01563651	29.60208262	3.987119908	17.03200229	0.376648133	0.317002882	43.97138763	0.273319826	3.628326673	14.3256	0.070615	0.192654237	0.014066496	0.060869565	0.017340319	0.020113918	0.126	9.633199667	2
X1.7	CY	D	D	D	CYD	CYD	295	6.89	382	22.93773284	0.82368281	0.540926024	0.020177155	41.30093135	3.718866418	10.30218201	0.307910666	0.263354375	39.81164042	0.357933028	2.838946812	15.25016	0.06818	0.211826022	0.019181586	0.065217391	0.0195387	0.037087322	0.126	9.220034014	2
X1.8	CY	D	D	D	CYD	CYD	395	7.28	367	19.55958549	0.549974093	0.358678756	0.015355934	52.48964702	5.76875	6.09753886	0.274379487	0.181424316	27.72623536	0.384178408	2.461291826	12.31392	0.080355	0.221974393	0.023017903	0.045652174	0.038326126	0.047848268	0.1008	8.970392982	2
X1.10	CY	D	D	D	CYD	CYD	465	7.33	313	15.39162113	0.634653916	0.207704918	0.012761592	53.66864299	2.423224044	4.979148452	0.129904839	0.103494624	14.40192461	0.09695353	1.162366626	4.14528	0.065745	0.116168232	0.019181586	0.034782609	0.030150809	0.047217422	0.126	8.947831617	2
X2.1	CY	S	T	T	CYS	CYT	2.5	6.84	231	66.15925059	8.723360656	0.415398126	0.059884832	33.77602166	23.46999415	141.4679859	2.032103398	0.544104379	45.96607816	0.422803015	22.19001017	24.90216	0.07305	0.320597939	0.035805627	0.082608696	0.568232978	0.072464961	0.5292	10.91972495	2
X2.5	CY	S	D	U	CYS	CYD	102.5	5.95	381	34.84419263	5.326345609	0.633767705	0.014912925	17.46569405	2.393484419	23.81348442	0.722873658	0.526561354	53.66443452	0.552554563	7.29564114	29.1084	0.09253	0.203931738	0.02173913	0.036956522	0.082601464	0.063130274	0.1008	10.0925536	2
X2.6	CY	D	D	D	CYD	CYD	210	5.82	103	30.93922652	31.08497238	0.19640884	0.019153954	28.37125691	3.699033149	28.38107735	0.669040874	0.489672012	49.89429332	0.439128721	6.426048814	32.01416	0.08279	0.175432035	0.030690537	0.019565217	0.051743735	0.0460883	0.0756	9.604867299	1
X2.7	CY	D	D	D	CYD	CYD	300	5.54	41	29.77375566	24.34555656	0.35038914	0.009720865	73.34163801	5.255837104	51.39689593	0.620280297	0.374288039	32.3527954	0.202126289	6.256666631	18.57248	0.06331	0.235422666	0.02173913	0.019565217	0.04505988	0.035162786	0.1008	10.08683762	1
X2.9	CY	D	D	D	CYD	CYD	400	5.59	247	21.58145065	19.86640904	0.255321046	0.017785087	67.94275416	5.228002378	20.73571641	0.473852376	0.295152992	24.73112185	0.11240142	4.885114821	15.63624	0.05844	0.215341217	0.017902813	0.017391304	0.039861943	0.039679274	0.0252	10.30936019	2
X2.10	CY	D	D	D	CYD	CYD	500	6.2	88	21.28463476	11.10967254	0.218312343	0.015577495	53.70786839	4.881706549	9.817991184	0.347178969	0.279608548	27.62728719	0.116776054	3.243350543	9.23544	0.065745	0.127766216	0.020460358	0.030434783	0.042082502	0.046883714	0.1512	9.3420133	2
X2.11	CY	D	D	D	CYD	CYD	610	6.34	128	22.46982358	5.119238626	0.992005571	0.013544397	26.04933148	3.58224234	9.705733519	0.326903957	0.330191832	27.41234152	0.139906894	3.117688172	11.10488	0.05357	0.130655324	0.023017903	0.039130435	0.039623531	0.042531794	0.1512	9.537015702	2
Y2.1	CY	S	T	T	CYS	CYT	2.5	6.61	253	36.64383562	5.780034247	0.61489726	0.063876723	47.2958476	8.506078767	54.9444863	0.740439932	0.879610863	42.11826942	0.626937214	8.539620081	8.8392	0.129055	0.319614605	0.030690537	0.05	0.19456365	0.057150955	0.2016	11.53317063	2
Y2.5	CY	S	D	U	CYS	CYD	110	6.42	260	29.01155327	1.264313222	0.258023107	0.007361722	13.05919448	3.612323492	12.77214377	0.534745763	0.779167521	51.71412244	0.732831445	4.936285997	17.34312	0.06818	0.222794973	0.015345269	0.036956522	0.050404746	0.065690227	0.126	9.231089503	2
Y2.6	CY	D	D	D	CYD	CYD	210	6.51	265	21.37592138	0.801081081	0.315577396	0.017755021	10.82673219	2.761302211	2.190835381	0.337525688	0.272429601	48.65227853	0.934369476	2.832159703	18.8468	0.06818	0.178567143	0.012787724	0.036956522	0.043482479	0.057484663	0.126	8.390945637	2
Y2.7	CY	D	D	D	CYD	CYD	300	6.37	240	22.34636872	0.62396648	0.562793296	0.011347626	8.750824022	1.315223464	7.236787709	0.31124974	0.309078309	45.65001992	0.559176459	2.732058911	18.11528	0.07792	0.176131489	0.002557545	0.043478261	0.032737303	0.036694186	0.126	8.777706644	2
Y2.8	CY	D	D	D	CYD	CYD	410	6.4	345	19.42051684	1.015074393	0.334377447	0.008945343	8.771436962	0.895653876	2.704874706	0.270571715	0.261437908	33.82459358	0.386369944	2.408994858	14.99616	0.06818	0.150918424	0.002557545	0.043478261	0.02177312	0.022445304	0.126	8.903350659	2
Y2.9	CY	D	D	D	CYD	CYD	500	6.39	334	13.84615385	0.648923077	0.204923077	0.010559231	8.677923077	2.96	3.796769231	0.146327569	0.166049129	14.47318769	0.060188679	1.342295667	5.09016	0.056005	0.123195365	0.00511509	0.030434783	0.0125499	0.013645465	0.126	9.173224701	2
Y2.10	CY	D	D	D	CYD	CYD	575	6.53	336	14.45427729	0.446371681	0.194572271	0.012657928	10.48115044	5.06460177	1.573746313	0.132699855	0.069500134	9.867291958	0.044212732	0.991398346	4.6736	0.060875	0.126486592	0.006393862	0.032608696	0.014776004	0.014710588	0.1008	7.470982866	2
Y4.1	CY	S	T	T	CYS	CYT	2.5	5.24	253	53.81016043	2.414819519	12.22790775	0.019754992	20.68362132	11.92028743	165.3305414	2.714610325	0.529710443	32.79106793	0.206768452	27.8201811	9.88568	0.099835	0.12983192	0.037084399	0.052173913	0.080544467	0.029887453	0.1008	10.24831478	2
Y4.5	CY	S	D	U	CYS	CYD	102.5	6.1	291	28.21869489	0.538518519	1.74377425	0.007316479	44.6906261	1.538624339	37.18342152	0.575835897	0.452683189	42.11220987	0.333164433	5.137788834	11.33856	0.07792	0.0912061	0.023017903	0.02173913	0.052190064	0.029316035	0.126	8.92231425	2
Y4.6	CY	D	D	D	CYD	CYD	210	6.26	367	22.13845099	2.039712132	0.415270733	0.022225381	22.44904729	2.198492118	15.32226868	0.235076428	0.270734556	53.29744881	1.573976276	2.114762115	11.04392	0.085225	0.102512475	0.00511509	0.026086957	0.051538589	0.021873886	0.0756	8.996061973	2
Y4.7	CY	D	D	D	CYD	CYD	300	6.58	400	23.10368824	0.763242867	0.307759221	0.01581113	23.7713222	2.462073765	3.902386917	0.196880131	0.225416751	47.04612365	0.122652928	1.890100044	10.78992	0.085225	0.10566076	0.006393862	0.026086957	0.014606897	0.023153862	0.126	9.600257938	2
Y4.8	CY	D	D	D	CYD	CYD	390	6.64	382	20.86743044	0.821898527	0.326342062	0.015523911	21.16993044	3.051902619	3.251333879	0.143568804	0.18861659	50.23907328	0.135466645	1.368239546	12.9032	0.094965	0.118252537	0.006393862	0.02173913	0.011538035	0.019414502	0.1008	9.530200931	2
Y3.1	CY	S	T	T	CYS	CYT	2.5	5.84	395	28.70771899	2.03358196	9.511500434	0.014234269	14.86895924	6.306678231	48.5035039	0.758662614	0.416405543	41.32531318	0.353335653	6.869948405	14.34592	0.07305	0.186760966	0.020460358	0.052173913	0.07321191	0.035949057	0.0504	9.055340646	2
Y3.5	CY	S	D	U	CYS	CYD	102.5	5.9	-43	33.58585859	6.251818182	0.267171717	0.014773761	21.56743687	15.12859848	2.624962121	0.251851852	0.20668773	19.09154123	0.152511453	2.444243181	3.28168	0.075485	0.175351553	0.024296675	0.02826087	0.087067532	0.030084021	0.0756	9.70508322	4
Y3.7	CY	D	D	D	CYD	CYD	210	5.71	-20	37.81512605	94.61008403	0.220504202	0.012782353	41.22739496	45.54789916	59.10890756	0.789705882	0.627173129	46.86962987	0.504527429	6.372596937	15.53464	0.07792	0.118967859	0.028132992	0.02173913	0.046701042	0.033466817	0.1512	8.069582714	2
Y3.8	CY	D	D	D	CYD	CYD	310	6.29	97	27.92127921	40.19286593	1.036162362	0.107733702	73.16457565	5.916359164	30.00393604	0.355913762	0.219982876	24.97850529	0.247222222	3.010358926	7.35584	0.075485	0.06826629	0.029411765	0.013043478	0.051228099	0.036438191	0.0504	8.45811331	2
Y3.9	CY	D	D	D	CYD	CYD	405	6.15	-41	28.72228089	21.25204857	0.257444562	0.021126544	62.81969113	4.762724393	14.10152587	0.337030266	0.326226734	37.59348465	0.152326911	2.65086708	7.76224	0.07305	0.116845391	0.014066496	0.013043478	0.02390774	0.034737651	0.1512	7.86536803	2
Y3.10	CY	D	D	D	CYD	CYD	510	5.88	40	33.26086957	18.74980435	0.453086957	0.012359946	29.10750543	38.07929348	31.09642391	0.943481781	0.601333333	21.13666337	0.122692054	7.921383462	7.48792	0.080355	0.173743567	0.012787724	0.017391304	0.030253382	0.036790184	0.1008	8.39590506	2
Z7.1	HH	S	T	T	HHS	HHT	2.5	6.27	288	45.02066892	0.768609545	11.76117625	0.01603838	11.35753539	22.73198985	93.33530252	1.376281113	0.673861907	31.14804377	0.268642241	14.53718039	9.77392	0.09253	0.415356472	0.039641944	0.056521739	0.326050676	0.089305796	0.1512	10.56265341	2
Z7.5	HH	S	D	U	HHS	HHD	96.5	6.36	178	32.89949385	0.385408532	1.661243673	0.005212152	21.61388768	2.126391902	26.94537238	0.472542902	0.433428146	48.29571569	0.458215693	4.862980433	11.54176	0.090095	0.095068737	0.039641944	0.023913043	0.050576625	0.025092113	0.1512	10.29108768	2
Z7.6	HH	D	D	D	HHD	HHD	200	6.12	220	36.2591031	0.654043695	1.062821004	0.015069405	20.56831161	2.077951322	22.76889613	0.52322503	0.36991537	48.40175953	0.35192245	5.808542334	10.4648	0.07305	0.119266409	0.024296675	0.02173913	0.03975937	0.021307039	0.1512	11.10142291	2
Z7.7	HH	D	D	D	HHD	HHD	310	5.04	41	34.048583	14.30298381	0.321716599	0.017216865	3.869535762	29.92634615	40.93173482	0.654724733	0.388335805	48.7726748	0.420654683	6.870329135	9.37768	0.085225	0.074578963	0.02685422	0.026086957	0.037131293	0.01804767	0.126	10.49346204	2
Z7.8	HH	D	D	D	HHD	HHD	400	5.21	35	29.76011994	19.30830585	0.116784108	0.023612287	4.202065217	41.10151799	40.29051724	0.668437181	0.379212511	38.25	0.373143564	6.81064205	8.636	0.070615	0.06817594	0.024296675	0.02173913	0.030289421	0.018486519	0.0756	10.18890368	2
Z11.1	HH	S	T	T	HHS	HHT	2.5	4.66	232	84.02130493	5.023781625	153.5473768	0.033486127	28.69505548	15.59580559	169.502024	2.707742461	1.160868986	50.74900299	0.312853107	25.52424513	18.9484	0.08766	1.149247148	0.08056266	0.07173913	0.879690619	0.221056529	0.0756	9.426393203	2
Z11.5	HH	S	D	U	HHS	HHD	110	5.32	317	29.37669377	2.522845528	0.970325203	0.007382558	11.12423939	3.072696477	17.85398374	0.460585633	0.388819704	41.9171906	0.289592985	4.502816969	14.61008	0.065745	0.135446586	0.012787724	0.02826087	0.051125527	0.035821059	0.0756	9.776286202	2
Z11.6	HH	D	D	D	HHD	HHD	210	5.3	289	32.60869565	2.519565217	0.238695652	0.00993322	16.7551087	3.447826087	27.98043478	0.524870259	0.480370144	41.46452145	0.259694719	5.415931921	16.43888	0.075485	0.213899948	0.012787724	0.026086957	0.047626968	0.04017298	0.0756	10.31861079	2
Z11.7	HH	D	D	D	HHD	HHD	310	4.86	59	31.54529307	7.734863233	0.18416341	0.014548087	11.15504085	13.77936945	17.01538366	0.474098496	0.49200492	44.37724747	0.399681268	4.744532228	12.0904	0.070615	0.14373204	0.010230179	0.02173913	0.020287203	0.016744837	0.0504	10.00748214	2
Z11.8	HH	D	D	D	HHD	HHD	390	4.76	127	35.25686137	8.020731879	0.108205489	0.014958564	9.869242318	11.63209008	10.99638283	0.20862069	0.205254516	16.58401639	0.176778689	2.190648434	2.50952	0.056005	0.149707992	0.006393862	0.019565217	0.021299069	0.012008923	0.1008	10.50062886	4
Z8.1	HH	S	T	T	HHS	HHT	2.5	6.19	101	76.33302152	129.8869036	1.569363891	0.117041043	18.70893358	38.66101497	103.7896165	1.769104355	1.11707989	50.71517413	0.421757877	18.88796753	12.88288	0.104705	0.15998771	0.033248082	0.043478261	0.049273675	0.013714035	0.1764	10.67657059	2
Z8.5	HH	S	D	U	HHS	HHD	110	6.45	306	30.89348814	4.816880363	0.32723372	0.014476002	11.95712014	0.981701161	52.03016153	0.541134891	0.429581294	47.91266158	0.42166059	5.522894722	10.5156	0.080355	0.095888363	0.029411765	0.02826087	0.049412287	0.027076076	0.1008	10.2061331	2
Z8.6	HH	D	D	D	HHD	HHD	200	4.93	58	37.45255167	13.40162379	0.247414593	0.025012069	23.84801771	29.62102488	35.99195065	0.592207792	0.400690846	42.97798949	0.449811104	6.226243877	9.03224	0.06818	0.133608337	0.02173913	0.030434783	0.018354957	0.018253381	0.1512	10.51361356	2
Z8.7	HH	D	D	D	HHD	HHD	300	5.23	48	33.8123415	14.05029586	0.187337278	0.021961951	7.943992674	26.36103128	34.65070583	0.547713202	0.321363518	30.66798942	0.272643849	5.841758839	5.55752	0.075485	0.109933154	0.024296675	0.030434783	0.022618652	0.019414502	0.126	10.66572583	3
Z8.8	HH	D	D	D	HHD	HHD	400	5.4	173	39.07805134	21.98823992	0.125170246	0.015381163	3.099122577	35.70828968	58.96213986	0.699087406	0.412967169	39.71604022	0.473813056	7.197193959	7.07136	0.08766	0.133848229	0.023017903	0.026086957	0.037779996	0.018468234	0.1008	10.29512747	2
Z8.11	HH	D	D	D	HHD	HHD	510	5.78	22	31.73695497	43.09115797	0.131736955	0.014569284	15.86771623	73.04814153	52.10196569	0.58092827	0.419925895	33.88151426	0.288888889	6.634068168	6.36016	0.07792	0.106183786	0.020460358	0.017391304	0.036244178	0.021439608	0.1008	11.41977161	2
Z2.1	HH	S	T	T	HHS	HHT	5	5.54	365	45.21393913	3.949819144	0.59537715	0.039380205	19.41147331	7.732642258	79.49011028	1.252152318	0.546539048	49.18657938	0.387307692	11.70689422	20.15744	0.070615	0.161134277	0.034526854	0.026086957	0.054460523	0.029073754	0.0504	9.349417044	2
Z2.5	HH	S	D	U	HHS	HHD	102.5	5.58	293	33.2460733	5.329842932	0.359764398	0.007603354	33.14496073	3.264528796	20.5465445	0.728794094	0.459723627	49.28304644	0.418991556	7.916593361	21.10232	0.08766	0.097346921	0.020460358	0.02826087	0.046770348	0.031176573	0.1512	10.86259265	2
Z2.6	HH	D	D	D	HHD	HHD	210	5.62	217	33.92319277	10.19155497	0.267846386	0.01720076	16.38550264	2.243213479	9.428192771	0.691407826	0.452116728	46.72444661	0.467537435	6.897223634	20.07616	0.070615	0.145576861	0.017902813	0.023913043	0.041261921	0.02671494	0.1512	9.975622748	1
